# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Thu Jan  9 21:25:33 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.11, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 7.41497 0.6392468810 2.3458551833    0.639 -1.025  3.5510  4.424    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.332 8.134 9.332 7.054
0.0152 0.01508 7.41497 0.6499999762 2.3520353107    0.650 -1.008  3.5535  4.425    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.289 8.076 9.256 7.003
0.0152 0.01508 7.41497 0.7000000477 2.3779267258    0.700 -0.915  3.5689  4.425    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.057 7.744 8.823 6.717
0.0152 0.01508 7.41497 0.7500000000 2.3998889087    0.750 -0.733  3.6321  4.527    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 6.603 6.948 7.704 6.100
0.0152 0.01508 7.41497 0.7516229153 2.4005456664    0.752 -0.731  3.6324  4.526    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 6.596 6.939 7.694 6.093
0.0152 0.01508 7.41497 0.7910739183 2.4155622385    0.791 -0.648  3.6430  4.508    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.390 6.680 7.385 5.866
0.0152 0.01508 7.41497 0.8000000119 2.4187244405    0.800 -0.627  3.6459  4.504    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.338 6.614 7.306 5.809
0.0152 0.01508 7.41497 0.8190853596 2.4252205705    0.819 -0.582  3.6528  4.497    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.226 6.469 7.131 5.683
0.0152 0.01508 7.41497 0.8500000238 2.4350346840    0.850 -0.501  3.6660  4.484    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 6.022 6.207 6.818 5.458
0.0152 0.01508 7.41497 0.8755068183 2.4425347706    0.875 -0.428  3.6785  4.474    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.839 5.976 6.543 5.260
0.0152 0.01508 7.41497 0.9000000358 2.4492786175    0.899 -0.353  3.6916  4.464    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.654 5.749 6.276 5.066
0.0152 0.01508 7.41497 0.9199665189 2.4544716445    0.919 -0.291  3.7025  4.455    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.96e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.498 5.563 6.060 4.906
0.0152 0.01508 7.41497 0.9444372058 2.4604930464    0.944 -0.213  3.7163  4.443    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 5.301 5.336 5.796 4.710
0.0152 0.01508 7.41497 0.9500000477 2.4618122009    0.950 -0.194  3.7195  4.440    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 5.256 5.284 5.736 4.665
0.0152 0.01508 7.41497 0.9691509604 2.4662207112    0.969 -0.131  3.7302  4.428    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 5.097 5.106 5.534 4.509
0.0152 0.01508 7.41497 0.9903469682 2.4708721146    0.990 -0.061  3.7420  4.415    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.79e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 4.922 4.913 5.314 4.343
0.0152 0.01508 7.41497 1.0000000000 2.4729154477    1.000 -0.030  3.7471  4.409    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -7.3e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 4.846 4.832 5.221 4.273
0.0152 0.01508 7.41497 1.0130417347 2.4756050975    1.013  0.012  3.7539  4.400    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.92e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 4.741 4.721 5.094 4.178
0.0152 0.01508 7.41497 1.0290361643 2.4787968917    1.029  0.060  3.7619  4.390    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.68e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 4.620 4.594 4.950 4.069
0.0152 0.01508 7.41497 1.0496722460 2.4827501472    1.049  0.096  3.7692  4.392    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.06e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 4.531 4.501 4.841 3.993
0.0152 0.01508 7.41497 1.0499999523 2.4828114860    1.050  0.096  3.7693  4.392    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.07e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 4.530 4.500 4.839 3.992
0.0152 0.01508 7.41497 1.0830755234 2.4887835419    1.082  0.140  3.7795  4.402    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.31e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.397e-04 6.719e-03 -1.000 1.526e-02 4.420 4.388 4.704 3.904
0.0152 0.01508 7.41497 1.1000000238 2.4916801480    1.099  0.154  3.7838  4.412    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.397e-04 6.719e-03 -1.000 1.525e-02 4.384 4.351 4.659 3.877
0.0152 0.01508 7.41497 1.1267458200 2.4960542712    1.126  0.162  3.7878  4.431    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.66e-14      0.00 7.093e-01 2.755e-01 2.709e-03 7.397e-04 6.718e-03 -1.000 1.526e-02 4.365 4.333 4.632 3.868
0.0152 0.01508 7.41497 1.1499999762 2.4996678137    1.149  0.174  3.7905  4.438    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.39e-14      0.00 7.093e-01 2.754e-01 2.709e-03 7.396e-04 6.718e-03 -1.000 1.527e-02 4.335 4.303 4.597 3.844
0.0152 0.01508 7.41497 1.1939449310 2.5060566516    1.193  0.210  3.7950  4.437    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.22e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.527e-02 4.245 4.214 4.498 3.766
0.0152 0.01508 7.41497 1.2000000477 2.5068948796    1.200  0.220  3.7961  4.433    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.34e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.527e-02 4.220 4.188 4.471 3.743
0.0152 0.01508 7.41497 1.2500000000 2.5134610955    1.250  0.309  3.8049  4.398    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.527e-02 3.998 3.969 4.234 3.545
0.0152 0.01508 7.41497 1.2999999523 2.5194498592    1.300  0.399  3.8146  4.364    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-13      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.716e-03 -1.000 1.527e-02 3.773 3.747 3.993 3.346
0.0152 0.01508 7.41497 1.3081319332 2.5203742220    1.308  0.414  3.8163  4.358    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-13      0.00 7.094e-01 2.754e-01 2.708e-03 7.395e-04 6.716e-03 -1.000 1.527e-02 3.736 3.710 3.953 3.313
0.0152 0.01508 7.41497 1.3500001431 2.5249313723    1.350  0.486  3.8248  4.334    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.094e-01 2.753e-01 2.708e-03 7.394e-04 6.716e-03 -1.000 1.526e-02 3.556 3.532 3.759 3.153
0.0152 0.01508 7.41497 1.4000000954 2.5299650415    1.400  0.567  3.8365  4.315    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 7.094e-01 2.753e-01 2.708e-03 7.394e-04 6.715e-03 -1.000 1.524e-02 3.351 3.331 3.539 2.979
0.0152 0.01508 7.41497 1.4500000477 2.5346015836    1.450  0.640  3.8491  4.308    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-13      0.00 7.094e-01 2.753e-01 2.708e-03 7.394e-04 6.715e-03 -1.000 1.527e-02 3.169 3.154 3.341 2.831
0.0152 0.01508 7.41497 1.4871997833 2.5378195364    1.487  0.690  3.8606  4.314    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.094e-01 2.753e-01 2.707e-03 7.393e-04 6.715e-03 -1.000 1.527e-02 3.044 3.035 3.204 2.739
