Gmag,G_BPmag,G_RPmag,Gmag_abs
17.538841,19.653767,16.197198999999998,11.66337628228871
17.91584,20.367386,16.49735,12.066770717060226
17.159810999999998,19.064043,15.85602,11.192289433909332
16.949854000000002,18.876049,15.648341,11.08109054380364
18.986778,21.397549,17.525033999999998,13.051148501371467
16.971726999999998,18.910284,15.675163,11.020836354380888
18.547474,20.303102,17.060076000000002,12.539380262536215
15.197148,16.692635,14.007712,9.286296667510205
14.973374,16.369595,13.810288,9.077553171864716
16.276094,18.033588,15.0005865,10.420021710811994
12.520971,13.195322,11.704455,6.592138376990711
13.925760999999998,15.022859,12.884105,8.044948636524316
12.548509,13.225614000000002,11.74728,6.723042076789909
16.613642000000002,18.470919,15.30601,10.760660714541695
18.77814,20.999048,17.345253,12.88766336941685
15.101218,15.923982999999998,13.767638,9.092666253957841
